"Year","State","Population","Property.crime.total","Burglary","Larceny.theft","Motor.vehicle.theft"
1966,"Massachusetts",5383000,116276,33326,53244,29706
1967,"Massachusetts",5421000,127638,36621,54837,36180
1968,"Massachusetts",5437000,157886,47210,66823,43853
1969,"Massachusetts",5467000,179901,56450,76501,46950
1970,"Massachusetts",5689170,201592,64523,87114,49955
1971,"Massachusetts",5758000,235015,77145,101161,56709
1972,"Massachusetts",5787000,220591,71894,92425,56272
1973,"Massachusetts",5818000,242556,77395,100605,64556
1974,"Massachusetts",5800000,289666,89891,120572,79203
1975,"Massachusetts",5828000,328423,99802,137058,91563
1976,"Massachusetts",5809000,314946,96554,142135,76257
1977,"Massachusetts",5782000,288158,88594,133642,65922
1978,"Massachusetts",5774000,282260,87482,131519,63259
1979,"Massachusetts",5769000,310756,92570,152135,66051
1980,"Massachusetts",5728288,313787,99697,153849,60241
1981,"Massachusetts",5770000,300428,95080,147691,57657
1982,"Massachusetts",5781000,285140,82212,146933,55995
1983,"Massachusetts",5767000,255707,72291,133883,49533
1984,"Massachusetts",5798000,235675,63756,123214,48705
1985,"Massachusetts",5822000,245665,65231,130088,50346
1986,"Massachusetts",5832000,242989,62455,127668,52866
1987,"Massachusetts",5855000,244105,62056,127939,54110
1988,"Massachusetts",5871000,256639,62307,141933,52399
1989,"Massachusetts",5913000,263780,63004,146925,53851
1990,"Massachusetts",6016425,274442,66942,151933,55567
1991,"Massachusetts",5996000,274990,69977,149930,55083
1992,"Massachusetts",5998000,253344,64318,141610,47416
1993,"Massachusetts",6012000,245831,60220,136548,49063
1994,"Massachusetts",6041000,225532,53222,129962,42348
1995,"Massachusetts",6074000,221971,49669,135586,36716
1996,"Massachusetts",6092000,194636,42896,119562,32178
1997,"Massachusetts",6118000,185437,40491,115494,29452
1998,"Massachusetts",6147000,173011,37333,109275,26403
1999,"Massachusetts",6175169,167437,32964,108845,25628
2000,"Massachusetts",6349097,161901,30600,105425,25876
2001,"Massachusetts",6401164,167079,32430,106821,27828
2002,"Massachusetts",6421800,167753,33243,107922,26588
2003,"Massachusetts",6420357,164543,34963,104069,25511
2004,"Massachusetts",6407382,158150,34497,101605,22048
2005,"Massachusetts",6433367,151727,34728,98079,18920
2006,"Massachusetts",6437193,153943,35243,100725,17975
2007,"Massachusetts",6449755,154743,35767,103925,15051
2008,"Massachusetts",6497967,155919,36251,106913,12755
2009,"Massachusetts",6593587,153178,34515,106799,11864
2010,"Massachusetts",6555466,154496,37903,105124,11469
2011,"Massachusetts",6607003,148829,36403,101644,10782
2012,"Massachusetts",6646144,143089,34540,99317,9232
1960,"Michigan",7823194,191001,56724,120237,14040
1961,"Michigan",7954000,197630,57647,125964,14019
1962,"Michigan",7991000,204073,57641,130499,15933
1963,"Michigan",8116000,223075,58884,145863,18328
1964,"Michigan",8098000,237109,63956,151910,21243
1965,"Michigan",8218000,248290,71289,150410,26591
1966,"Michigan",8374000,282725,82403,170722,29600
1967,"Michigan",8584000,315295,99624,182277,33394
1968,"Michigan",8740000,327217,101664,187952,37601
1969,"Michigan",8766000,377085,115315,217834,43936
1970,"Michigan",8875083,437700,139398,257118,41184
1971,"Michigan",8997000,462500,151756,265951,44793
1972,"Michigan",9082000,436693,143709,249940,43044
1973,"Michigan",9044000,443538,143311,250638,49589
1974,"Michigan",9098000,533160,173215,303110,56835
1975,"Michigan",9157000,559915,173231,327174,59510
1976,"Michigan",9104000,530965,151901,323243,55821
1977,"Michigan",9129000,477196,139006,288387,49803
1978,"Michigan",9189000,461002,132716,279958,48328
1979,"Michigan",9208000,509457,138806,315211,55440
1980,"Michigan",9228128,557051,160688,342384,53979
1981,"Michigan",9201000,571582,171331,341805,58446
1982,"Michigan",9109000,558195,165155,330031,63009
1983,"Michigan",9069000,522450,153438,302118,66894
1984,"Michigan",9075000,525979,149209,298192,78578
1985,"Michigan",9088000,511852,138792,297827,75233
1986,"Michigan",9145000,520127,138040,308894,73193
1987,"Michigan",9200000,522254,133602,319470,69182
1988,"Michigan",9300000,496867,122254,305693,68920
1989,"Michigan",9273000,487682,113579,307096,67007
1990,"Michigan",9295297,483764,106275,311153,66336
1991,"Michigan",9368000,499781,111126,324985,63670
1992,"Michigan",9437000,456800,98257,299486,59057
1993,"Michigan",9478000,441767,93143,290333,58291
1994,"Michigan",9496000,444325,91849,290172,62304
1995,"Michigan",9549000,429223,86872,280712,61639
1996,"Michigan",9594000,430020,85908,276909,67203
1997,"Michigan",9774000,422916,80726,276863,65327
1998,"Michigan",9817000,398773,82249,258186,58338
1999,"Michigan",9863775,369887,76736,236351,56800
2000,"Michigan",9938444,353297,69790,227783,55724
2001,"Michigan",10006266,352353,72038,226708,53607
2002,"Michigan",10043221,335060,70970,214367,49723
2003,"Michigan",10082364,330565,68316,208538,53711
2004,"Michigan",10104206,309805,64233,194988,50584
2005,"Michigan",10100833,312892,70527,194090,48275
2006,"Michigan",10095643,325594,76313,199183,50098
2007,"Michigan",10071822,308550,75273,191289,41988
2008,"Michigan",10003422,295100,74787,184558,35755
2009,"Michigan",9969727,284019,76046,178628,29345
2010,"Michigan",9877143,271501,74345,169748,27408
2011,"Michigan",9876801,251329,69755,156666,24908
2012,"Michigan",9883360,250101,65665,159321,25115
1960,"Minnesota",3413864,48614,12645,31303,4666
1961,"Minnesota",3470000,48865,13225,30971,4669
1962,"Minnesota",3475000,52088,13312,33781,4995
1963,"Minnesota",3500000,57409,14160,38075,5174
1964,"Minnesota",3521000,67797,18833,42580,6384
1965,"Minnesota",3554000,68411,18853,42393,7165
1966,"Minnesota",3576000,76202,20713,46683,8806
1967,"Minnesota",3582000,88160,25233,52454,10473
1968,"Minnesota",3646000,102930,29232,60897,12801
1969,"Minnesota",3700000,108583,28836,65527,14220
1970,"Minnesota",3805069,116014,30507,72354,13153
1971,"Minnesota",3881000,131274,34219,83741,13314
1972,"Minnesota",3896000,123876,36124,74612,13140
1973,"Minnesota",3897000,130855,39610,78122,13123
1974,"Minnesota",3917000,145857,43939,87280,14638
1975,"Minnesota",3926000,160641,46842,98784,15015
1976,"Minnesota",3965000,164235,44493,105978,13764
1977,"Minnesota",3975000,160471,45103,101731,13637
1978,"Minnesota",4008000,158495,43837,101646,13012
1979,"Minnesota",4060000,169376,45183,110827,13366
1980,"Minnesota",4061235,185668,50602,123050,12016
1981,"Minnesota",4090000,184387,52253,121834,10300
1982,"Minnesota",4133000,175048,48855,116375,9818
1983,"Minnesota",4144000,159268,44571,106034,8663
1984,"Minnesota",4162000,151082,41242,101240,8600
1985,"Minnesota",4193000,162597,42663,108954,10980
1986,"Minnesota",4214000,171832,42319,117371,12142
1987,"Minnesota",4246000,183868,45384,125686,12798
1988,"Minnesota",4306000,173302,39167,119526,14609
1989,"Minnesota",4353000,178252,39042,122673,16537
1990,"Minnesota",4375099,185185,39691,129500,15994
1991,"Minnesota",4432000,185268,37832,131330,16106
1992,"Minnesota",4480000,190520,39859,134750,15911
1993,"Minnesota",4517000,183347,38147,129727,15473
1994,"Minnesota",4567000,181856,36157,131344,14355
1995,"Minnesota",4610000,190911,36756,138414,15741
1996,"Minnesota",4658000,192109,35515,138671,17923
1997,"Minnesota",4686000,191006,35265,137872,17869
1998,"Minnesota",4725000,176541,32486,128689,15366
1999,"Minnesota",4775508,158717,27706,117736,13275
2000,"Minnesota",4919479,157798,26116,118250,13432
2001,"Minnesota",4984535,165046,25496,124519,15031
2002,"Minnesota",5024791,164026,28034,122150,13842
2003,"Minnesota",5064172,157663,27698,116216,13749
2004,"Minnesota",5096546,155019,28048,113453,13518
2005,"Minnesota",5126739,158301,29716,114304,14281
2006,"Minnesota",5167101,159276,30306,115693,13277
2007,"Minnesota",5197621,158257,29717,115892,12648
2008,"Minnesota",5220393,149517,26558,112764,10195
2009,"Minnesota",5266214,139286,25580,105160,8546
2010,"Minnesota",5310658,136431,24415,103429,8587
2011,"Minnesota",5347299,136183,25681,102354,8148
2012,"Minnesota",5379139,138152,25378,104316,8458
1960,"Mississippi",2178141,13113,4459,7603,1051
1961,"Mississippi",2215000,13942,4703,7928,1311
1962,"Mississippi",2248000,14830,5115,8481,1234
1963,"Mississippi",2290000,13125,4259,7740,1126
1964,"Mississippi",2314000,17786,6157,10359,1270
1965,"Mississippi",2321000,18732,6626,10311,1795
1966,"Mississippi",2327000,17374,5548,10438,1388
1967,"Mississippi",2348000,18464,6053,11080,1331
1968,"Mississippi",2342000,22066,7348,13031,1687
1969,"Mississippi",2363000,22511,7479,13310,1722
1970,"Mississippi",2216912,24898,7785,15376,1737
1971,"Mississippi",2226000,29476,9900,17363,2213
1972,"Mississippi",2263000,33778,12221,18829,2728
1973,"Mississippi",2281000,36205,13544,20066,2595
1974,"Mississippi",2324000,44489,17562,24042,2885
1975,"Mississippi",2346000,49145,18398,27713,3034
1976,"Mississippi",2354000,51150,19098,29176,2876
1977,"Mississippi",2389000,54945,21873,29622,3450
1978,"Mississippi",2404000,53698,20345,29703,3650
1979,"Mississippi",2406000,63447,23428,36006,4013
1980,"Mississippi",2511491,77234,29612,43142,4480
1981,"Mississippi",2530000,81789,29614,47587,4588
1982,"Mississippi",2551000,83622,30200,49504,3918
1983,"Mississippi",2587000,75740,26479,45584,3677
1984,"Mississippi",2598000,72169,25464,42952,3753
1985,"Mississippi",2613000,78254,26701,47478,4075
1986,"Mississippi",2625000,80612,28242,48430,3940
1987,"Mississippi",2625000,83182,31537,47433,4212
1988,"Mississippi",2627000,85840,33651,47818,4371
1989,"Mississippi",2621000,83980,30018,49266,4696
1990,"Mississippi",2573216,90803,32196,53266,5341
1991,"Mississippi",2592000,99317,34524,57373,7420
1992,"Mississippi",2614000,101181,33533,58851,8797
1993,"Mississippi",2643000,105308,33985,62467,8856
1994,"Mississippi",2669000,115924,34493,70621,10810
1995,"Mississippi",2697000,108195,30505,67967,9723
1996,"Mississippi",2716000,109581,30755,69299,9527
1997,"Mississippi",2731000,113644,32429,71887,9328
1998,"Mississippi",2752000,109345,31498,68525,9322
1999,"Mississippi",2768619,108560,29109,65919,13532
2000,"Mississippi",2844658,103644,26918,69758,6968
2001,"Mississippi",2859733,109609,29821,70315,9473
2002,"Mississippi",2866733,109584,29593,70468,9523
2003,"Mississippi",2882594,106867,29564,68307,8996
2004,"Mississippi",2900768,100980,27661,65440,7879
2005,"Mississippi",2908496,95231,26866,60873,7492
2006,"Mississippi",2910540,92853,27117,57406,8330
2007,"Mississippi",2918785,90887,27223,56473,7191
2008,"Mississippi",2938618,85488,25506,53730,6252
2009,"Mississippi",2951996,87327,29559,52329,5439
2010,"Mississippi",2970072,88596,30453,52784,5359
2011,"Mississippi",2977457,89809,30722,54179,4908
2012,"Mississippi",2984926,83906,28076,51508,4322
1960,"Missouri",4319813,77743,25712,44049,7982
1961,"Missouri",4378000,82563,26782,48430,7351
1962,"Missouri",4346000,92297,26238,57277,8782
1963,"Missouri",4328000,102415,28644,63370,10401
1964,"Missouri",4409000,118456,33051,73963,11442
1965,"Missouri",4497000,120376,34311,74279,11786
1966,"Missouri",4508000,120499,35260,72411,12828
1967,"Missouri",4603000,131039,39635,75063,16341
1968,"Missouri",4627000,150623,45188,84779,20656
1969,"Missouri",4651000,176113,52037,97171,26905
1970,"Missouri",4677399,175344,53184,97004,25156
1971,"Missouri",4749000,173767,55427,94492,23848
1972,"Missouri",4753000,168724,52312,94051,22361
1973,"Missouri",4757000,177567,58740,97640,21187
1974,"Missouri",4777000,207114,70283,116428,20403
1975,"Missouri",4763000,233577,72047,139303,22227
1976,"Missouri",4778000,219057,67044,133542,18471
1977,"Missouri",4801000,197841,63290,116386,18165
1978,"Missouri",4860000,197293,65375,113992,17926
1979,"Missouri",4868000,214809,70423,124398,19988
1980,"Missouri",4901288,239115,81798,136998,20319
1981,"Missouri",4938000,237575,78173,140567,18835
1982,"Missouri",4951000,219888,68881,134383,16624
1983,"Missouri",4970000,201418,60496,125140,15782
1984,"Missouri",5008000,192123,55863,119749,16511
1985,"Missouri",5029000,194247,55252,120650,18345
1986,"Missouri",5066000,206463,57556,126674,22233
1987,"Missouri",5103000,212430,56711,133964,21755
1988,"Missouri",5139000,220578,58605,139648,22325
1989,"Missouri",5159000,231874,58594,146269,27011
1990,"Missouri",5117073,225422,54536,143287,27599
1991,"Missouri",5158000,239982,64643,146533,28806
1992,"Missouri",5193000,226246,57127,143288,25831
1993,"Missouri",5234000,227731,53673,145392,28666
1994,"Missouri",5278000,240898,55577,158283,27038
1995,"Missouri",5324000,237278,49649,162430,25199
1996,"Missouri",5359000,240781,47919,168870,23992
1997,"Missouri",5402000,228889,46900,155472,26517
1998,"Missouri",5439000,232284,47455,160363,24466
1999,"Missouri",5468338,223010,42476,157550,22984
2000,"Missouri",5595211,225919,41685,159539,24695
2001,"Missouri",5637309,238411,42977,167420,28014
2002,"Missouri",5669544,230520,42721,159921,27878
2003,"Missouri",5719204,233564,41997,161616,29951
2004,"Missouri",5759532,224629,40472,158264,25893
2005,"Missouri",5797703,227809,42822,159288,25699
2006,"Missouri",5842713,224007,44734,153874,25399
2007,"Missouri",5878415,225113,44897,156319,23897
2008,"Missouri",5911605,216522,45763,150002,20757
2009,"Missouri",5987580,201783,43591,140764,17428
2010,"Missouri",5995715,200858,44197,140526,16135
2011,"Missouri",6008984,199085,44875,138879,15331
2012,"Missouri",6021988,199590,42466,140816,16308
1960,"Montana",674767,13397,2675,9079,1643
1961,"Montana",682000,13327,2857,8947,1523
1962,"Montana",709000,13675,2941,9143,1591
1963,"Montana",707000,14835,3380,9722,1733
1964,"Montana",705000,14263,3328,9519,1416
1965,"Montana",706000,14667,3197,10072,1398
1966,"Montana",702000,16032,3482,10917,1633
1967,"Montana",701000,16636,3661,11463,1512
1968,"Montana",693000,17006,3935,11696,1375
1969,"Montana",694000,17984,3899,12587,1498
1970,"Montana",694409,19245,4123,13582,1540
1971,"Montana",708000,21571,4637,15362,1572
1972,"Montana",719000,21967,5092,15099,1776
1973,"Montana",721000,23273,5448,16163,1662
1974,"Montana",735000,28822,6526,20216,2080
1975,"Montana",748000,29915,6546,21055,2314
1976,"Montana",753000,30734,6333,22083,2318
1977,"Montana",761000,29582,6125,21104,2353
1978,"Montana",785000,28874,6170,20293,2411
1979,"Montana",786000,33298,6314,24537,2447
1980,"Montana",781592,37531,7430,27587,2514
1981,"Montana",792000,37746,7651,27874,2221
1982,"Montana",801000,32908,6759,24079,2070
1983,"Montana",817000,36208,7420,26918,1870
1984,"Montana",824000,36380,7070,27080,2230
1985,"Montana",826000,35855,6835,26746,2274
1986,"Montana",819000,35393,6491,27142,1760
1987,"Montana",809000,35986,6521,27541,1924
1988,"Montana",804000,33318,5657,25921,1740
1989,"Montana",806000,31285,5575,23892,1818
1990,"Montana",799065,34702,5666,27098,1938
1991,"Montana",808000,28347,4231,22449,1667
1992,"Montana",824000,36472,5306,29243,1923
1993,"Montana",839000,38699,5992,30641,2066
1994,"Montana",856000,41445,6178,32817,2450
1995,"Montana",870000,40246,5060,32797,2389
1996,"Montana",879000,38084,4908,30928,2248
1997,"Montana",879000,37592,5002,30411,2179
1998,"Montana",880000,36564,4575,29940,2049
1999,"Montana",882779,29103,3876,23353,1874
2000,"Montana",902195,32198,3624,26678,1896
2001,"Montana",905382,30175,3670,24684,1821
2002,"Montana",910372,28751,3289,23679,1783
2003,"Montana",918157,28428,3722,22800,1906
2004,"Montana",926920,27215,3515,22082,1618
2005,"Montana",934737,29407,3642,23794,1971
2006,"Montana",944632,26986,3380,21659,1947
2007,"Montana",957861,27837,3476,22315,2046
2008,"Montana",967440,26300,3689,20834,1777
2009,"Montana",974989,24826,3686,19528,1612
2010,"Montana",990958,25409,3692,20166,1551
2011,"Montana",997667,23885,3347,19089,1449
2012,"Montana",1005141,25970,3894,20387,1689
1960,"Nebraska",1411330,16623,3267,11586,1770
1961,"Nebraska",1431000,17756,3730,12372,1654
1962,"Nebraska",1484000,18536,3894,12846,1796
1963,"Nebraska",1460000,20302,4290,14181,1831
1964,"Nebraska",1480000,22929,4832,15895,2202
1965,"Nebraska",1477000,26203,5684,18115,2404
1966,"Nebraska",1456000,27096,6117,18448,2531
1967,"Nebraska",1435000,28407,7056,18651,2700
1968,"Nebraska",1437000,32500,7292,20862,4346
1969,"Nebraska",1449000,33217,6989,22106,4122
1970,"Nebraska",1483791,35149,7486,23332,4331
1971,"Nebraska",1512000,36033,8337,23846,3850
1972,"Nebraska",1525000,37446,8489,24968,3989
1973,"Nebraska",1542000,40490,9828,25994,4668
1974,"Nebraska",1543000,47906,11939,31685,4282
1975,"Nebraska",1546000,51887,11752,36563,3572
1976,"Nebraska",1553000,52048,10626,37795,3627
1977,"Nebraska",1561000,51906,11864,36154,3888
1978,"Nebraska",1565000,50874,11687,35794,3393
1979,"Nebraska",1574000,59295,12804,42195,4296
1980,"Nebraska",1563921,63818,14316,45692,3810
1981,"Nebraska",1576000,62977,14383,45324,3270
1982,"Nebraska",1586000,59019,12867,43331,2821
1983,"Nebraska",1597000,57012,12408,42026,2578
1984,"Nebraska",1606000,52526,10339,39875,2312
1985,"Nebraska",1606000,55514,11730,41278,2506
1986,"Nebraska",1598000,57418,11956,42784,2678
1987,"Nebraska",1594000,61853,13516,45692,2645
1988,"Nebraska",1601000,61908,12251,46634,3023
1989,"Nebraska",1611000,61413,12010,46403,3000
1990,"Nebraska",1578385,61290,11424,47054,2812
1991,"Nebraska",1593000,64031,11574,49071,3386
1992,"Nebraska",1606000,63846,11477,49144,3225
1993,"Nebraska",1607000,62725,10662,46811,5252
1994,"Nebraska",1623000,65746,10963,48547,6236
1995,"Nebraska",1637000,68140,10344,52044,5752
1996,"Nebraska",1652000,66110,10152,50315,5643
1997,"Nebraska",1657000,63717,9813,48363,5541
1998,"Nebraska",1663000,65752,10544,49420,5788
1999,"Nebraska",1666028,61277,10158,45679,5440
2000,"Nebraska",1711263,64479,10131,49118,5230
2001,"Nebraska",1720039,68963,9760,52713,6490
2002,"Nebraska",1727564,68178,10329,51440,6409
2003,"Nebraska",1737475,65189,10133,48924,6132
2004,"Nebraska",1747704,61512,9826,46399,5287
2005,"Nebraska",1758163,60348,9408,45359,5581
2006,"Nebraska",1768331,59411,9535,44710,5166
2007,"Nebraska",1774571,55765,9035,41484,5246
2008,"Nebraska",1783432,51350,8731,38394,4225
2009,"Nebraska",1796619,49731,8726,37496,3509
2010,"Nebraska",1830141,48827,8318,36896,3613
2011,"Nebraska",1842234,50894,8725,38060,4109
2012,"Nebraska",1855525,51118,8735,38236,4147
1960,"Nevada",285278,9399,2606,5675,1118
1961,"Nevada",299000,10276,2724,6136,1416
1962,"Nevada",335000,11712,2971,7054,1687
1963,"Nevada",368000,16137,4221,9441,2475
1964,"Nevada",408000,16381,4416,9856,2109
1965,"Nevada",440000,15565,3863,9779,1923
1966,"Nevada",454000,15472,4229,9494,1749
1967,"Nevada",444000,18010,4734,11159,2117
1968,"Nevada",453000,18952,5808,11107,2037
1969,"Nevada",457000,21874,6245,13069,2560
1970,"Nevada",488738,26222,8116,14877,3229
1971,"Nevada",507000,25803,7635,15094,3074
1972,"Nevada",527000,28566,9262,16335,2969
1973,"Nevada",548000,33209,11781,18079,3349
1974,"Nevada",573000,40939,14053,23413,3473
1975,"Nevada",592000,44247,14487,26741,3019
1976,"Nevada",610000,46452,14594,28776,3082
1977,"Nevada",633000,45734,15528,26666,3540
1978,"Nevada",660000,49540,17551,28018,3971
1979,"Nevada",702000,56132,19799,31388,4945
1980,"Nevada",800312,63556,23263,34864,5429
1981,"Nevada",845000,65027,23046,36955,5026
1982,"Nevada",881000,62512,21256,36279,4977
1983,"Nevada",891000,53871,17922,31749,4200
1984,"Nevada",911000,54045,18023,31508,4514
1985,"Nevada",936000,55294,17312,33336,4646
1986,"Nevada",963000,53647,15446,33601,4600
1987,"Nevada",1007000,57154,16408,35157,5589
1988,"Nevada",1060000,60128,16376,37401,6351
1989,"Nevada",1111000,62732,15607,40686,6439
1990,"Nevada",1201833,65652,16434,42097,7121
1991,"Nevada",1284000,72183,18026,45781,8376
1992,"Nevada",1327000,73077,17108,46714,9255
1993,"Nevada",1389000,73685,17293,46137,10255
1994,"Nevada",1457000,82693,19735,51893,11065
1995,"Nevada",1530000,86203,20235,54563,11405
1996,"Nevada",1603000,83047,19558,52295,11194
1997,"Nevada",1677000,88307,21975,53112,13220
1998,"Nevada",1747000,81006,19873,47367,13766
1999,"Nevada",1809253,73874,17613,43167,13094
2000,"Nevada",1998257,74823,17526,44125,13172
2001,"Nevada",2097722,77486,17711,45073,14702
2002,"Nevada",2167455,83896,18951,47459,17486
2003,"Nevada",2242207,96128,21958,53321,20849
2004,"Nevada",2332898,98215,23142,52438,22635
2005,"Nevada",2412301,102424,23481,52012,26931
2006,"Nevada",2495529,102338,24902,50429,27007
2007,"Nevada",2565382,97118,24911,49844,22363
2008,"Nevada",2600167,90006,24254,49814,15938
2009,"Nevada",2643085,80976,22115,46463,12398
2010,"Nevada",2704283,75004,22286,42533,10185
2011,"Nevada",2720028,70075,20342,40156,9577
2012,"Nevada",2758931,77510,22120,45372,10018
1960,"New Hampshire",606921,4105,1108,2646,351
1961,"New Hampshire",621000,4912,1573,2884,455
1962,"New Hampshire",632000,6140,1781,3821,538
1963,"New Hampshire",627000,5676,1751,3354,571
1964,"New Hampshire",654000,6173,1827,3797,549
1965,"New Hampshire",669000,6880,2117,4176,587
1966,"New Hampshire",681000,7491,2382,4411,698
1967,"New Hampshire",686000,7455,2350,4338,767
1968,"New Hampshire",702000,8832,2605,5235,992
1969,"New Hampshire",717000,10506,3322,6157,1027
1970,"New Hampshire",737681,12291,4172,6850,1269
1971,"New Hampshire",762000,15218,5082,8734,1402
1972,"New Hampshire",771000,14861,4600,9299,962
1973,"New Hampshire",791000,17776,5418,10863,1495
1974,"New Hampshire",808000,24664,6629,15942,2093
1975,"New Hampshire",818000,26559,6978,17470,2111
1976,"New Hampshire",822000,28976,7706,19196,2074
1977,"New Hampshire",849000,31235,8844,19900,2491
1978,"New Hampshire",871000,34393,10101,21630,2662
1979,"New Hampshire",887000,39373,10635,25856,2882
1980,"New Hampshire",919114,41358,12067,26443,2848
1981,"New Hampshire",935000,39034,11090,25692,2252
1982,"New Hampshire",951000,35229,8987,24115,2127
1983,"New Hampshire",959000,30987,7882,21359,1746
1984,"New Hampshire",977000,29347,7190,20314,1843
1985,"New Hampshire",998000,31049,7608,21459,1982
1986,"New Hampshire",1027000,32767,7754,22675,2338
1987,"New Hampshire",1057000,34058,7344,24426,2288
1988,"New Hampshire",1097000,34951,7489,24964,2498
1989,"New Hampshire",1107000,37945,8157,27087,2701
1990,"New Hampshire",1109252,38976,8158,28111,2707
1991,"New Hampshire",1105000,36780,8126,26220,2434
1992,"New Hampshire",1111000,32828,6909,23754,2165
1993,"New Hampshire",1125000,31131,5795,23153,2183
1994,"New Hampshire",1137000,29837,5275,22260,2302
1995,"New Hampshire",1148000,29170,4806,22698,1666
1996,"New Hampshire",1162000,31436,5063,24611,1762
1997,"New Hampshire",1173000,29635,4612,23430,1593
1998,"New Hampshire",1185000,27405,3852,22079,1474
1999,"New Hampshire",1201134,26247,3698,21195,1354
2000,"New Hampshire",1235786,27901,4992,20761,2148
2001,"New Hampshire",1259359,27089,4889,20060,2140
2002,"New Hampshire",1274405,26250,4838,19468,1944
2003,"New Hampshire",1288705,26456,4589,19934,1933
2004,"New Hampshire",1299169,26658,4979,19723,1956
2005,"New Hampshire",1306819,24031,4192,18493,1346
2006,"New Hampshire",1314895,26060,4395,20179,1486
2007,"New Hampshire",1315828,26394,5074,19909,1411
2008,"New Hampshire",1315809,28387,4266,22714,1407
2009,"New Hampshire",1324575,28790,4915,22748,1127
2010,"New Hampshire",1316807,29230,5444,22789,997
2011,"New Hampshire",1317807,32756,6244,25398,1114
2012,"New Hampshire",1320718,30693,5444,24226,1023
1960,"New Jersey",6066782,83509,25698,45903,11908
1961,"New Jersey",6244000,89375,29329,47145,12901
1962,"New Jersey",6245000,101025,31868,54516,14641
1963,"New Jersey",6470000,114018,35993,61199,16826
1964,"New Jersey",6682000,127138,40143,68072,18923
1965,"New Jersey",6774000,128214,42113,66177,19924
1966,"New Jersey",6898000,149454,49176,77374,22904
1967,"New Jersey",7003000,178516,60321,88412,29783
1968,"New Jersey",7078000,213630,71621,105309,36700
1969,"New Jersey",7148000,213701,68123,108336,37242
1970,"New Jersey",7168164,235704,74649,121098,39957
1971,"New Jersey",7300000,263025,88720,131959,42346
1972,"New Jersey",7367000,255317,87981,124153,43183
1973,"New Jersey",7361000,271667,91609,137899,42159
1974,"New Jersey",7330000,320196,104774,175349,40073
1975,"New Jersey",7316000,346142,111288,195517,39337
1976,"New Jersey",7336000,367075,110346,219267,37462
1977,"New Jersey",7329000,346063,105229,203345,37489
1978,"New Jersey",7327000,350501,106700,202726,41075
1979,"New Jersey",7332000,390018,117421,221552,51045
1980,"New Jersey",7342164,425623,137900,234160,53563
1981,"New Jersey",7401000,410693,128274,231846,50573
1982,"New Jersey",7438000,377016,106418,223978,46620
1983,"New Jersey",7468000,344296,92391,206778,45127
1984,"New Jersey",7515000,325231,79871,202181,43179
1985,"New Jersey",7562000,344067,79923,213907,50237
1986,"New Jersey",7620000,355764,81595,215073,59096
1987,"New Jersey",7672000,362155,77392,219906,64857
1988,"New Jersey",7720000,363807,75675,219086,69046
1989,"New Jersey",7736000,360532,75548,213878,71106
1990,"New Jersey",7730188,371023,78628,219767,72628
1991,"New Jersey",7760000,372212,78821,221544,71847
1992,"New Jersey",7789000,345718,75508,206686,63524
1993,"New Jersey",7879000,328867,76738,195876,56253
1994,"New Jersey",7904000,319856,72074,195618,52164
1995,"New Jersey",7945000,326056,69533,206339,50184
1996,"New Jersey",7988000,303657,63259,193961,46437
1997,"New Jersey",8053000,287038,60894,184979,41165
1998,"New Jersey",8115000,260810,54459,171166,35185
1999,"New Jersey",8143412,243333,46998,160978,35357
2000,"New Jersey",8414350,233637,43924,155562,34151
2001,"New Jersey",8511116,240551,46812,156031,37708
2002,"New Jersey",8575252,227715,43899,148061,35755
2003,"New Jersey",8642412,220350,43457,142287,34606
2004,"New Jersey",8685166,211313,41030,139977,30306
2005,"New Jersey",8703150,203391,38980,136728,27683
2006,"New Jersey",8724560,198820,39384,134687,24749
2007,"New Jersey",8685920,192338,37234,133145,21959
2008,"New Jersey",8682661,199127,40402,138545,20180
2009,"New Jersey",8707739,180752,36945,128303,15504
2010,"New Jersey",8799593,183042,38732,128754,15556
2011,"New Jersey",8834773,189719,43238,129066,17415
2012,"New Jersey",8864590,181481,42338,122662,16481
1960,"New Mexico",951023,21337,4331,14501,2505
1961,"New Mexico",983000,20273,4357,13744,2172
1962,"New Mexico",1020000,21654,5256,14109,2289
1963,"New Mexico",1018000,23283,6080,14841,2362
1964,"New Mexico",1008000,25303,6782,16108,2413
1965,"New Mexico",1029000,27379,7563,17491,2325
1966,"New Mexico",1022000,31133,9380,18971,2782
1967,"New Mexico",1003000,30477,8539,19378,2560
1968,"New Mexico",1015000,35997,9848,22792,3357
1969,"New Mexico",994000,41973,12234,25622,4117
1970,"New Mexico",1016000,41977,12156,25729,4092
1971,"New Mexico",1030000,48595,14596,29274,4725
1972,"New Mexico",1065000,48102,15650,28409,4043
1973,"New Mexico",1106000,49330,16601,28914,3815
1974,"New Mexico",1122000,53436,17762,32240,3434
1975,"New Mexico",1147000,60844,19828,37378,3638
1976,"New Mexico",1168000,66116,19617,42650,3849
1977,"New Mexico",1190000,55772,16882,35802,3088
1978,"New Mexico",1212000,56384,16188,36393,3803
1979,"New Mexico",1241000,64563,18385,41745,4433
1980,"New Mexico",1295474,69490,19335,45613,4542
1981,"New Mexico",1327000,73369,21405,47252,4712
1982,"New Mexico",1359000,79816,22135,53402,4279
